keyword,count
Angela Merkel,23
Super Smash Bros. Ultimate,4
Donald Trump,10
Altria,1
Kevin Hart,11
Brexit,7
Heather Nauert,3
United States Ambassador to the United Nations,3
CNN,4
Academy Awards,11
Heinz-Christian Strache,1
Julian Assange,2
Aquarius,4
Sebastian Kurz,1
Electric chair,3
Christian Democratic Union of Germany,2
Rosenberger restaurant,1
George Soros,1
Vienna,1
Freedom Party of Austria,1
Saad Lamjarred,1
George HW Bush,3
Senegal,2
G5 Sahel,1
Huawei,1
Japan,1
Morocco,1
Human migration,1
ZTE,1
Belgium,1
Nana Akufo-Addo,1
Rwanda,1
Manchester United F.C.,3
Ghana,1
Shatta Wale,1
Secondary school,1
Mahamudu Bawumia,1
Christmas Day,1
José Mourinho,3
Diane Rwigara,1
Taliban,2
Belisario Betancur,2
Afghanistan,3
Nicolás Maduro,2
World Trade Organization,1
Venezuela,3
Emmanuel Macron,2
Keiko Fujimori,1
Vladimir Putin,3
Colombia,1
Ministry of Education and Science of the Republic of Lithuania,1
Ministry of Foreign Affairs of the Republic of Lithuania,1
Kaunas,1
Agroconcern group,1
Maxima Group,1
Lithuania,2
Small Planet Airlines,1
Vilnius,1
Seimas of the Republic of Lithuania,1
Saulius Skvernelis,1
Saudi,2
United State,4
North Korea,3
the coast,2
Lebanon,3
Hizb allah,2
Emmanuel Macaron,1
Hamas,11
Traian Basescu,1
Klaus Iohannis,1
RCS &amp; RDS,1
Calin Popescu-Tariceanu,1
Bucharest,1
Social Democratic Party,1
Viorica Dăncilă,1
Eugen Teodorovici,1
The Constitutional Court of Romania,1
Oravita,1
Slovenia,1
Borut Pahor,1
United States,1
Christian Democratic Union,3
Ecuador,1
Aleš Bržan,1
Court of Audit of the Republic of Slovenia,1
Lockheed Martin F-16 Fighting Falcon,1
Peter the Elders,1
Groningen,1
Frank Masmeijer,1
Frenkie de Jong,1
Oostvaardersplassen,1
AFC Ajax,1
Heemstedestraat,1
Mark Harbers,1
Paris Saint-Germain,1
Samsung Galaxy,6
Ukraine,9
Samsung Group,6
Germany,9
Russia,2
Mortal Kombat,3
The Game Awards,3
Malaysia,2
Build to order,1
Housing and Development Board,1
Kuala Lumpur,1
Singapore,2
Mahathir Bin Mohamad,2
Accident,2
Democratic Republic of the Congo,2
2014 West Africa Ebola outbreak,1
Mount Maunganui,1
Mortal Engines,1
Maria Ressa,2
New Zealand,1
Philippines,2
Coroner,1
Paragliding,1
Associated Press,1
Auckland,1
United Kingdom,3
Microsoft Edge,1
Microsoft Corporation,1
Riga,1
Latvia,1
Latvian State Police,1
German Christian Democrats Union,1
Kingdom of Denmark,1
The Saeima,1
Ministry of Health of the Republic of Latvia,1
Corruption Prevention and Combating Bureau,1
Andrej Babiš,1
Miloš Zeman,1
USA,3
HC Kometa Brno,1
Christian-Democratic Union,1
Security Information Service,1
Chamber of Deputies of the Parliament of the Czech Republic,1
Martin Erat,1
Care allowance,1
Rodrigo Duterte,3
Bong Revilla,1
Test,1
Antonio Trillanes,1
Professional Regulation Commission,1
National Democratic Front of the Philippines,1
Panfilo Lacson,1
Davao,1
Perbadanan Tabung Pendidikan Tinggi Nasional,1
Human Rights Commission of Malaysia,1
International Convention on the Elimination of All Forms of Racial Discrimination,1
Theresa May,1
France,4
William Ruto,1
National Hospital Insurance Fund,1
Philomena Mbete Mwilu,1
Uhuru Kenyatta,1
Kenya Pipeline Company,1
Gideon Moi,1
Kalenjin people,1
Kenya,1
Mt. Kenya University,1
Luis Moreno Ocampo,1
Iran,3
Pakistan,1
Yasir Shah,1
Pakistan national cricket team,1
Inter-Services Public Relations,1
Review petition,1
Asif Ghafoor,1
International Monetary Fund,1
Imran Khan,1
Pete Shelley,1
Arsenal F.C.,1
Buzzcocks,1
Rob Holding,1
O2,1
Abortion,1
Jim McGuinness,1
Student,1
University College Dublin,1
Dublin,1
County Donegal,1
All Progressives Congress,1
Muhammadu Buhari,1
Boko Haram,1
Ekiti State,1
Igbo people,1
Nigeria,1
Marketing,1
Osun State College of Technology,1
"Meghan, Duchess of Sussex",1
Australia national cricket team,2
India national cricket team,1
Orlando Pirates,1
South African Broadcasting Corporation,1
Baroka F.C.,1
Durban,1
Luis Valbuena,1
George H. W. Bush,1
Tennessee,1
José Castillo,1
College Scholastic Ability Test,1
Woo Sung Woo,1
President of the Republic of Korea,1
Son Hak-gyu,1
Kim Jong-un,1
Kim Kyung Su,1
"In addition,",1
High Young,1
"Park, Byeong",1
Korean Army Security Command,1
Saad Hariri,1
Gibran Basil,1
Kesserwan district,1
Byblos,1
United nations,1
Groisman Volodymyr Borisovich,1
State Administration of Railway Transport of Ukraine,1
Barna Oleg Stepanovich,1
Metropolitan of Kiev,1
Onufri,1
Levchenko Yuri Vladimirovich,1
Martyniuk Maksim Petrovich,1
EuroMaydan,1
Alwaleed bin Talal bin Abdulaziz Al Saud,1
Gulf Cooperation Council,2
Abdul Latif bin Rashid Al Zayani,2
To whom,1
Huthion,1
Swiss Holiday Park,1
Switzerland,1
Mesut Ozil,1
Eva Weissenberger,1
Arsenal FC,1
Heather Lauert,1
Economic Chamber Austria,1
István Tarlós,1
Ferenc Hirt,1
Budapest,1
Hungary,1
George Clooney,1
Amal Clooney,1
parliament,1
Fidesz - Hungarian Civic Alliance,1
National Anti-Corruption Commission,1
National Peace Corps,1
Sombat Boonnganong,1
Pravit Wongsuwan,1
Wissanu Krea Ngam,1
New York City,1
amphetamine,1
Seri Pitsuya,1
Thailand,1
Valery Simeonov,1
Vasil Levski,1
Varna,1
Mladen Marinov,1
Bulgarian Socialist Party,1
Yordanka Fandakova,1
Bulgaria,1
Plovdiv,1
Boyko Borisov,1
Dobrich,1
Ahmed Hossam Mido,1
Junior Ajay,1
Alahli football club,1
Province of Al-Galubeiah,1
Sharm El-Shaikh,1
Sayed Abdel Hafeez,1
Jafarullah Chowdhury,1
Bangladesh Nationalist Party,1
Shah Ams Kibria,1
Ganobhaban,1
Sheikh Hasina,1
Khaleda Zia,1
Bangladesh Awami League,1
Rangpur-6,1
Chandpur-2,1
Shirin Sharmin Chowdhury,1
Cameroon,1
Economic Community of West African States,1
Alioune Sarr,1
United Nations Organization,1
Democratic Republic of Congo,1
Senegalese sugar company,1
Tivaouane,1
Deputy,1
National Assembly,1
Alexander Nikolaevich Sokurov,1
Spitak earthquake,1
Armenia,1
Bank of Russia,1
Organization of countries - exporters of oil,1
Oil,1
Earthquake,1
Stepan Timofeevich Poltorak,1
Serbia,1
Kragujevac,1
Republic of Kosovo,1
Croatia,1
Aleksandar Vucic,1
White City,1
Kosovo Liberation Army,1
Judicial Power of Peru,1
LATAM Airlines,3
Martín Vizcarra,1
National Superintendency of Customs and Tax Administration,1
Alan García,1
Strike,5
Hugo Chavez,2
Edwin Oviedo Picchotito,1
National Television of Chile,1
Case of the Pack,1
The Queen,1
Jair Bolsonaro,3
Evo Morales,2
Inflation,1
Jaime de Aguirre,1
Marius Borg Høiby,1
Knut Arild Hareide,1
Abid Raja,1
Vikna,1
Trine Skei Grande,1
Tor Mikkel Wara,1
Emil André Erstad,1
Robert Mueller,1
Malmö FF,1
Frölunda HC,1
Swedish Television,1
Håkan Jeppsson,1
Mikael Persbrandt,1
Kungsportsavenyen,1
Friedrich Merz,1
CDU,1
Zhang Shouyi,2
Ke Wenzhe,2
Let love and peace occupy Central,1
Elderly living allowance,1
Comprehensive Social Security Assistance Program,1
File method,1
Laurent Trump,1
Old age allowance,1
Xi Jinping,2
Sino-US trade dispute in 2018,1
Danang,1
Vietnam national football team,1
Hai Phong,1
President of the United States,1
Ho Chi Minh City,1
Vietnam,1
Thanh Cang,1
Viet A Commercial Joint Stock Bank,1
Shmuel Plato-Sharon,1
Naftali Bennett,1
Sarah Netanyahu,1
Israel,2
Aryeh Deri,1
Benjamin Netanyahu,1
Haifa,1
Portugal Sporting Club,1
Government,1
Luiz Phellype,1
Sport Lisboa and Benfica,1
Greenland,1
Ceará,2
Lisbon,1
Nitin Gadkari,1
Indian Cricket Team,1
Vasundhara Raje Scindia,1
Bharatiya Janata Party,1
Sharad Yadav,1
India,2
Bulandshahr,1
Post-poll survey,1
Amit Shah,1
Jorge Glas,1
Cuba,1
Antonio Maceo,1
Export,1
National Action Party,1
Myrtle,1
Recep Tayyip Erdogan,1
Fenerbahce,1
Contact Ruhsar directly,1
Istanbul,1
Bolu Mountain,1
Turkey president,1
Tarsus,1
Turkey national football team,1
Yoshiji Tonoiwa,1
Heather · Nawart,1
Nissan Motor,1
Download illegalize,1
Immigration Control and Refugee Recognition Act,1
Glory seminar,1
pioneer,1
Tokyo Medical University,1
National University Club,1
Andrés Manuel López Obrador,1
America club,1
Mexico City International Airport,1
Inter-American Commission on Human Rights,1
Mario Martín Delgado Carrillo,1
Chamber of Deputies,1
Preventive prison,1
Lech Walesa,1
Andrzej Duda,1
Rafał Trzaskowski,1
Stanisław Michalkiewicz,1
Polish Financial Supervision Authority,1
Modern,1
Poland,1
Warsaw,1
S3 expressway,1
PW-Sat2,1
Luiz Fernando Pezão,1
Federal Police of Brazil,1
Flávio Bolsonaro,1
More Doctors,1
Ricardo Lewandowski,1
Barra do Piraí,1
Federal Court of Justice,1
National Criminal Agency Presidium of the Police Corps,1
Robert Kaliňák,1
Freedom and Solidarity,1
Bratislava,1
Miroslav Lajčák,1
Slovakia,1
Peter Kažimír,1
Pavol Russia,1
National Bank of Slovakia,1
Matus Vallo,1
Panos Kammenos,1
Alexis Tsipras,1
Akis Tsohatzopoulos,1
Thessaloniki,1
Archbishop of Athens Ieronymos II,1
Democracy,1
Rethimno,1
Exarchia,1
Arsenal Football Club,2
Club Atlético Rosario Central,1
Club Atlético Boca Juniors,1
Argentina Soccer Cup,1
River Plate Athletic Club,1
Gymnastics and Fencing Club La Plata,1
Patricia Bullrich,1
Copa Libertadores de América,1
Romelu Lukaku,1
Daval case,2
SOS Mediterranean,1
Paris,1
Montauban,2
Molotov cocktail,2
Theo Francken,1
Nordahl Lelandais,1
cyberattack,1
Mulhouse,1
Police custody in French law,1
Removal of Maëlys from Araujo,1
Work force,1
Boris Palmer,1
Stefanie Tücking,1
Lingen (Ems),1
Berlin,1
Eschwege,1
Cold wave,1
Tsinghua Supermarket,1
Tsinghua University,1
Reform and Opening,1
Democratic People&#39;s Republic of Korea,1
Ransomware,1
Li Yonghao,1
Beijing Liaojin City Museum,1
Giovanni Tria,1
Forza Italia,1
Aquarius 2,1
5 Star Movement,1
Democratic party,1
Censis,1
Florence,1
Matteo Dall&#39;Osso,1
Matteo Renzi,1
Marco Minniti,1
Airlangga University,1
"Tanah Abang, Central Jakarta",1
Bogor,1
Electronic Identity Card,1
Jasa Tirta II,1
Jakarta,1
Prabumulih City,1
Tornado,1
Anies Baswedan,1
Supreme Court of the Republic of Indonesia,1
Niu Chengze,1
Tu Xingzhe,1
"University of California, Los Angeles",1
Nanrong University of Science and Technology,1
Zhang Guofan,1
Xingyu Airlines,1
Zheng Chuanyi,1
professor,1
University of Science and Technology,1
