name,2018120501,2018120502,2018120503,2018120504,2018120505,2018120506,2018120507,2018120508,2018120509,2018120510,2018120511,2018120512,2018120513,2018120514,2018120515,2018120516,2018120517,2018120518,2018120519,2018120520,2018120521,2018120522,2018120523,2018120600,2018120601,2018120602,2018120603,2018120604,2018120605,2018120606,2018120607,2018120608,2018120609,2018120610,2018120611,2018120612,2018120613,2018120614,2018120615,2018120616,2018120617,2018120618,2018120619,2018120620,2018120621,2018120622,2018120623,2018120700,2018120701,2018120702,2018120703,2018120704,2018120705,2018120706,2018120707,2018120708,2018120709,2018120710,2018120711,2018120712,2018120713,2018120714,2018120715,2018120716,2018120717,2018120718,2018120719,2018120720,2018120721,2018120722,2018120723,2018120800,2018120801,2018120802,2018120803,2018120804,2018120805,2018120806,2018120807,2018120808,2018120809,2018120810,2018120811,2018120812,2018120813,2018120814,2018120815,2018120816,2018120817,2018120818
George H. W. Bush,12,12,12,12,10,13,9,4,8,13,9,2,1,1,2,3,7,2,1,6,7,10,9,11,12,14,14,14,14,13,13,13,13,12,13,13,12,13,14,11,11,12,12,8,11,10,11,12,14,15,14,14,15,15,11,10,10,8,10,5,8,2,1,8,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0
Brexit,8,6,9,9,10,10,10,16,11,10,8,9,8,9,8,9,12,13,9,8,11,11,12,10,10,8,8,7,4,4,3,2,2,0,1,1,2,2,2,3,0,1,5,6,9,6,4,10,9,10,8,11,2,2,2,1,2,12,10,7,7,7,7,7,2,1,2,2,7,7,3,2,5,3,1,2,1,1,1,1,2,1,2,1,2,1,2,3,3,4
Malcolm Turnbull,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patricia Karvelas,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,6,5,4,1,0,0,0,6,9,2,3,4,3,1,1,0,6,3,5,3,3,3,1,3,2,1,2,0,1,1,2,0,1,2,1,0,0,2,2,3,2,2,3,3,2,3,4,6,8,9,6,3,3,3,0,3,1,3,2,7,0,1,4,4,1,1,2,1,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
Usman Khawaja,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
European Union,8,8,4,6,5,4,3,3,3,3,3,4,4,2,0,0,1,1,1,2,1,1,0,1,0,2,1,0,1,2,2,2,0,1,1,1,3,1,3,1,1,1,0,0,0,1,1,3,1,1,1,1,3,1,3,3,1,1,0,2,0,0,1,4,2,0,1,0,0,0,0,0,2,0,0,0,2,2,4,1,2,1,0,1,1,2,3,1,1,1
China,5,5,2,6,2,1,5,1,4,2,4,3,3,5,2,2,2,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,2,1,2,1,2,3,3,0,0,0,0,0,0,1,1,1,1,2,0,0,0,6,5,1,1,0,5,6,2,1,0,5,3,0,0,1,0,0,0,1,1,2,4,3,3,1,2,1,6,8,7,6,7,7,4,6,8,7
Cricket,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
